"ITTER107","Territorio","TIPO_DATO15","Funzioni biometriche","SEXISTAT1","Sesso","ETA1","Età e classi di età","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","SURVIVORS","sopravviventi - lx","1","maschi","Y0","0","2020","2020",100000,,
"IT","Italia","SURVIVORS","sopravviventi - lx","1","maschi","Y3","3","2020","2020",99676,,
"IT","Italia","SURVIVORS","sopravviventi - lx","1","maschi","Y8","8","2020","2020",99632,,
"IT","Italia","SURVIVORS","sopravviventi - lx","1","maschi","Y10","10","2020","2020",99618,,
"IT","Italia","SURVIVORS","sopravviventi - lx","1","maschi","Y11","11","2020","2020",99610,,
"IT","Italia","SURVIVORS","sopravviventi - lx","2","femmine","Y0","0","2020","2020",100000,,
"IT","Italia","SURVIVORS","sopravviventi - lx","2","femmine","Y3","3","2020","2020",99732,,
"IT","Italia","SURVIVORS","sopravviventi - lx","2","femmine","Y8","8","2020","2020",99696,,
"IT","Italia","SURVIVORS","sopravviventi - lx","2","femmine","Y10","10","2020","2020",99685,,
"IT","Italia","SURVIVORS","sopravviventi - lx","2","femmine","Y11","11","2020","2020",99678,,
"IT","Italia","SURVIVORS","sopravviventi - lx","9","totale","Y0","0","2020","2020",100000,,
"IT","Italia","SURVIVORS","sopravviventi - lx","9","totale","Y3","3","2020","2020",99704,,
"IT","Italia","SURVIVORS","sopravviventi - lx","9","totale","Y8","8","2020","2020",99663,,
"IT","Italia","SURVIVORS","sopravviventi - lx","9","totale","Y10","10","2020","2020",99650,,
"IT","Italia","SURVIVORS","sopravviventi - lx","9","totale","Y11","11","2020","2020",99643,,
"IT","Italia","DEATHS","decessi - dx","1","maschi","Y0","0","2020","2020",285,,
"IT","Italia","DEATHS","decessi - dx","1","maschi","Y3","3","2020","2020",12,,
"IT","Italia","DEATHS","decessi - dx","1","maschi","Y8","8","2020","2020",7,,
"IT","Italia","DEATHS","decessi - dx","1","maschi","Y10","10","2020","2020",8,,
"IT","Italia","DEATHS","decessi - dx","1","maschi","Y11","11","2020","2020",8,,
"IT","Italia","DEATHS","decessi - dx","1","maschi","Y15","15","2020","2020",16,,
"IT","Italia","DEATHS","decessi - dx","2","femmine","Y0","0","2020","2020",240,,
"IT","Italia","DEATHS","decessi - dx","2","femmine","Y3","3","2020","2020",9,,
"IT","Italia","DEATHS","decessi - dx","2","femmine","Y8","8","2020","2020",6,,
"IT","Italia","DEATHS","decessi - dx","2","femmine","Y10","10","2020","2020",6,,
"IT","Italia","DEATHS","decessi - dx","2","femmine","Y11","11","2020","2020",7,,
"IT","Italia","DEATHS","decessi - dx","9","totale","Y0","0","2020","2020",263,,
"IT","Italia","DEATHS","decessi - dx","9","totale","Y3","3","2020","2020",11,,
"IT","Italia","DEATHS","decessi - dx","9","totale","Y8","8","2020","2020",6,,
"IT","Italia","DEATHS","decessi - dx","9","totale","Y10","10","2020","2020",7,,
"IT","Italia","DEATHS","decessi - dx","9","totale","Y11","11","2020","2020",7,,
"IT","Italia","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y0","0","2020","2020",2.85162,,
"IT","Italia","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y3","3","2020","2020",0.12357,,
"IT","Italia","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y8","8","2020","2020",0.06751,,
"IT","Italia","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y10","10","2020","2020",0.07758,,
"IT","Italia","PROBDEATH","probabilità di morte (per 1.000) - qx","1","maschi","Y11","11","2020","2020",0.07905,,
"IT","Italia","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y0","0","2020","2020",2.40087,,
"IT","Italia","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y3","3","2020","2020",0.095,,
"IT","Italia","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y8","8","2020","2020",0.0552,,
"IT","Italia","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y10","10","2020","2020",0.0645,,
"IT","Italia","PROBDEATH","probabilità di morte (per 1.000) - qx","2","femmine","Y11","11","2020","2020",0.06652,,
"IT","Italia","PROBDEATH","probabilità di morte (per 1.000) - qx","9","totale","Y0","0","2020","2020",2.63223,,
"IT","Italia","PROBDEATH","probabilità di morte (per 1.000) - qx","9","totale","Y3","3","2020","2020",0.10966,,
"IT","Italia","PROBDEATH","probabilità di morte (per 1.000) - qx","9","totale","Y8","8","2020","2020",0.06152,,
"IT","Italia","PROBDEATH","probabilità di morte (per 1.000) - qx","9","totale","Y10","10","2020","2020",0.07121,,
